City,complex_name,address,url,zipcode
Chico,Village at the Timbers,725 Nord Ave,https://www.csuvillagetimbers.com/,95926
Chico,Timbers IV,712 Nord Ave,https://www.csutimbersiv.com,95926
Chico,Westpark Plaza Apartments,920 W 4th Ave,http://www.livewestpark.com/,95926
Chico,Cedar Flats Apartments,1221 N Cedar St,https://www.cedarflatschico.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,95926
Chico,Redwood Glen Apartments,643 W 4th Ave,https://www.cypm.net/property/redwood-glen,95926
Chico,Warner Park Apartments,1431 Warner St,https://rentinchico.com/locations/warner-park-apartments,95926
Chico,Gateway Apartments,929 Nord Ave,https://gatewayapartments.com/,95926
Chico,Green Acres Apartments,1420 Glenwood Ave,https://rentinchico.com/locations/green-acres-apartments,95926
Chico,Eaton Village Apartment Homes,100 Penzance Ave,http://www.eatonvillageapartments.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,95973
Chico,Acacia Apartments,808-842 W 2nd Ave,http://www.acaciaapts.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,95926
Chico,Cedar Village,820 W 4th Ave,https://www.cedarvillage.com/,95926
Chico,Campus Walk Chico,330 Nord Ave,https://campuswalkchico.com/,95926
Oroville,Tuscan Villa Apartments,85 Tuscan Villa Dr,https://www.hignellrentals.com//,95965
Oroville,Sierra Heights Senior Apartments,200 - 300 Hillview Ridge Ln,https://www.willowpartners.com/properties/sierra-heights/,95965
Oroville,Mitchell Ave Senior Apartments,Feather River Blvd,https://www.mitchellsrapts.com/,95965
Oroville,Evanswood Estates,5 Evanswood Cir,http://www.butte-housing.com/general-information/properties/evanswood.php,95965
Red Bluff,Red Bluff Apartments,830 Kimball Rd,http://liveatredbluffapt.com/,96080
Red Bluff,Red Bluff Meadows,850 Kimball Rd,http://liveatredbluff.com/,96080
Red Bluff,Cabernet Apartments,15 Cabernet Ct,https://www.cabernetredbluff.com/,96080
Red Bluff,Sutter Street Apartments,6 Sutter St,http://www.sutterstreetapts.com/,96080
Paradise,Villa Monterey Apartments,1220 Elliott Rd,https://www.hignellrentals.com/rentals/property/436/Villa-Monterey-Paradise-CA/,95969
Paradise,Shadowbrook Villas,1077 Shadowbrook Way,https://www.paradiseapartments.org/shadowbrook-villas,95969
Paradise,Paradise Community Village Apartments,"1001 Village Pkwy, Paradise",https://www.chiphousing.org/,95969
Paradise,Pomona West Apartments,815 Pomona Ave,http://pomonawest.com/,95928